,MSSubClass,MSZoning,Street,LotShape,LandContour,Utilities,LotConfig,Neighborhood,BldgType,HouseStyle,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtFinType1,Heating,HeatingQC,CentralAir,Electrical,KitchenAbvGr,KitchenQual,Functional,GarageType,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,SaleCondition,OverallQual,OverallCond,SalePrice,LotArea,BsmtFinSF1,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,YearsToSale
12,20,RL,Pave,IR2,Lvl,AllPub,Inside,Sawyer,1Fam,1Story,TA,TA,CBlock,TA,TA,ALQ,GasA,TA,Y,SBrkr,1,TA,Typ,Detchd,Y,140,0,0,0,176,0,Normal,5,6,144000,12968,737,912,912,0,0,912,2,4,0,1,352,46
13,20,RL,Pave,IR1,Lvl,AllPub,Inside,CollgCr,1Fam,1Story,Gd,TA,PConc,Gd,TA,Unf,GasA,Ex,Y,SBrkr,1,Gd,Typ,Attchd,Y,160,33,0,0,0,0,Partial,7,5,279500,10652,0,1494,1494,0,0,1494,3,7,1,3,840,0
14,20,RL,Pave,IR1,Lvl,AllPub,Corner,NAmes,1Fam,1Story,TA,TA,CBlock,TA,TA,BLQ,GasA,TA,Y,SBrkr,1,TA,Typ,Attchd,Y,0,213,176,0,0,0,Normal,6,5,157000,10920,733,1253,1253,0,0,1253,2,5,1,1,352,48
15,45,RM,Pave,Reg,Lvl,AllPub,Corner,BrkSide,1Fam,1.5Unf,TA,TA,BrkTil,TA,TA,Unf,GasA,Ex,Y,FuseA,1,TA,Typ,Detchd,Y,48,112,0,0,0,0,Normal,7,8,132000,6120,0,832,854,0,0,854,2,5,0,2,576,6
16,20,RL,Pave,IR1,Lvl,AllPub,CulDSac,NAmes,1Fam,1Story,TA,TA,CBlock,TA,TA,ALQ,GasA,Ex,Y,SBrkr,1,TA,Typ,Attchd,Y,0,0,0,0,0,0,Normal,6,7,149000,11241,578,1004,1004,0,0,1004,2,5,1,2,480,40
17,90,RL,Pave,Reg,Lvl,AllPub,Inside,Sawyer,Duplex,1Story,TA,TA,Slab,None,None,None,GasA,TA,Y,SBrkr,2,TA,Typ,CarPort,Y,0,0,0,0,0,0,Normal,4,5,90000,10791,0,0,1296,0,0,1296,2,6,0,2,516,39
18,20,RL,Pave,Reg,Lvl,AllPub,Inside,SawyerW,1Fam,1Story,TA,TA,PConc,TA,TA,GLQ,GasA,Ex,Y,SBrkr,1,Gd,Typ,Detchd,Y,0,102,0,0,0,0,Normal,5,5,159000,13695,646,1114,1114,0,0,1114,3,6,0,2,576,4
19,20,RL,Pave,Reg,Lvl,AllPub,Inside,NAmes,1Fam,1Story,TA,TA,CBlock,TA,TA,LwQ,GasA,TA,Y,SBrkr,1,TA,Min1,Attchd,Y,0,0,0,0,0,0,Abnorml,5,6,139000,7560,504,1029,1339,0,0,1339,3,6,0,1,294,44
20,60,RL,Pave,IR1,Lvl,AllPub,Corner,NridgHt,1Fam,2Story,Gd,TA,PConc,Ex,TA,Unf,GasA,Ex,Y,SBrkr,1,Gd,Typ,BuiltIn,Y,240,154,0,0,0,0,Partial,8,5,325300,14215,0,1158,1158,1218,0,2376,4,9,1,3,853,0
21,45,RM,Pave,Reg,Bnk,AllPub,Inside,IDOTRR,1Fam,1.5Unf,TA,TA,PConc,TA,TA,Unf,GasA,Ex,Y,FuseF,1,Gd,Typ,Attchd,N,0,0,205,0,0,0,Normal,7,7,139400,7449,0,637,1108,0,0,1108,3,6,1,1,280,57
22,20,RL,Pave,Reg,Lvl,AllPub,Inside,CollgCr,1Fam,1Story,Gd,TA,PConc,Gd,TA,Unf,GasA,Ex,Y,SBrkr,1,Gd,Typ,Attchd,Y,171,159,0,0,0,0,Normal,8,5,230000,9742,0,1777,1795,0,0,1795,3,7,1,2,534,6
23,120,RM,Pave,Reg,Lvl,AllPub,Inside,MeadowV,TwnhsE,1Story,TA,TA,PConc,Gd,TA,GLQ,GasA,TA,Y,SBrkr,1,TA,Typ,Attchd,Y,100,110,0,0,0,0,Normal,5,7,129900,4224,840,1040,1060,0,0,1060,3,6,1,2,572,31
24,20,RL,Pave,IR1,Lvl,AllPub,Inside,Sawyer,1Fam,1Story,TA,Gd,CBlock,TA,TA,Rec,GasA,Ex,Y,SBrkr,1,Gd,Typ,Attchd,Y,406,90,0,0,0,0,Normal,5,8,154000,8246,188,1060,1060,0,0,1060,3,6,1,1,270,9
25,20,RL,Pave,Reg,Lvl,AllPub,Corner,NridgHt,1Fam,1Story,Gd,TA,PConc,Gd,TA,Unf,GasA,Ex,Y,SBrkr,1,Gd,Typ,Attchd,Y,0,56,0,0,0,0,Normal,8,5,256300,14230,0,1566,1600,0,0,1600,3,7,1,3,890,2
26,20,RL,Pave,Reg,Lvl,AllPub,Corner,NAmes,1Fam,1Story,TA,TA,CBlock,TA,TA,BLQ,GasA,TA,Y,SBrkr,1,Gd,Typ,Detchd,Y,222,32,0,0,0,0,Normal,5,7,134800,7200,234,900,900,0,0,900,3,5,0,2,576,10
27,20,RL,Pave,Reg,Lvl,AllPub,Inside,NridgHt,1Fam,1Story,Gd,TA,PConc,Ex,TA,GLQ,GasA,Ex,Y,SBrkr,1,Gd,Typ,Attchd,Y,0,50,0,0,0,0,Normal,8,5,306000,11478,1218,1704,1704,0,0,1704,3,7,1,3,772,2
28,20,RL,Pave,IR1,Lvl,AllPub,CulDSac,NAmes,1Fam,1Story,TA,TA,CBlock,TA,TA,BLQ,GasA,TA,Y,SBrkr,1,TA,Typ,Attchd,Y,288,258,0,0,0,0,Normal,5,6,207500,16321,1277,1484,1600,0,0,1600,2,6,2,1,319,9
29,30,RM,Pave,IR1,Lvl,AllPub,Inside,BrkSide,1Fam,1Story,TA,TA,BrkTil,TA,TA,Unf,GasA,Fa,N,SBrkr,1,Fa,Typ,Detchd,Y,49,0,87,0,0,0,Normal,4,6,68500,6324,0,520,520,0,0,520,1,4,0,1,240,58
30,70,C (all),Pave,Reg,Lvl,AllPub,Inside,IDOTRR,1Fam,2Story,TA,Fa,BrkTil,TA,TA,Unf,GasA,TA,N,SBrkr,1,TA,Typ,Detchd,N,0,54,172,0,0,0,Normal,4,4,40000,8500,0,649,649,668,0,1317,3,6,0,1,250,58
31,20,RL,Pave,IR1,Lvl,AllPub,CulDSac,Sawyer,1Fam,1Story,TA,TA,CBlock,TA,TA,Unf,GasA,Gd,Y,SBrkr,1,Gd,Typ,Attchd,Y,0,65,0,0,0,0,Normal,5,6,149350,8544,0,1228,1228,0,0,1228,3,6,0,1,271,2
32,20,RL,Pave,Reg,Lvl,AllPub,Corner,CollgCr,1Fam,1Story,Gd,TA,PConc,Ex,TA,Unf,GasA,Ex,Y,SBrkr,1,Gd,Typ,Attchd,Y,0,30,0,0,0,0,Normal,8,5,179900,11049,0,1234,1234,0,0,1234,3,7,0,2,484,1
33,20,RL,Pave,IR1,Lvl,AllPub,Inside,NAmes,1Fam,1Story,TA,TA,CBlock,TA,TA,Rec,GasA,Gd,Y,SBrkr,1,Gd,Typ,Attchd,Y,0,38,0,0,0,0,Normal,5,5,165500,10552,1018,1398,1700,0,0,1700,4,6,1,2,447,51
34,120,RL,Pave,Reg,Lvl,AllPub,Inside,NridgHt,TwnhsE,1Story,Ex,TA,PConc,Ex,TA,GLQ,GasA,Ex,Y,SBrkr,1,Ex,Typ,Attchd,Y,203,47,0,0,0,0,Normal,9,5,277500,7313,1153,1561,1561,0,0,1561,2,6,1,2,556,2
35,60,RL,Pave,Reg,Lvl,AllPub,Inside,NridgHt,1Fam,2Story,Gd,TA,PConc,Ex,TA,Unf,GasA,Ex,Y,SBrkr,1,Gd,Typ,BuiltIn,Y,113,32,0,0,0,0,Normal,8,5,309000,13418,0,1117,1132,1320,0,2452,4,9,1,3,691,1
36,20,RL,Pave,Reg,Lvl,AllPub,Corner,CollgCr,1Fam,1Story,TA,TA,PConc,Gd,TA,Unf,GasA,Ex,Y,SBrkr,1,TA,Typ,Attchd,Y,392,64,0,0,0,0,Normal,5,5,145000,10859,0,1097,1097,0,0,1097,3,6,0,2,672,14
37,20,RL,Pave,Reg,Lvl,AllPub,Inside,NAmes,1Fam,1Story,TA,TA,CBlock,TA,TA,Rec,GasA,Gd,Y,SBrkr,1,TA,Typ,Attchd,Y,0,0,0,0,0,0,Normal,5,6,153000,8532,1213,1297,1297,0,0,1297,3,5,1,2,498,19
38,20,RL,Pave,Reg,Lvl,AllPub,Inside,NAmes,1Fam,1Story,TA,Gd,CBlock,TA,TA,GLQ,GasA,TA,Y,SBrkr,1,Gd,Typ,Detchd,Y,0,52,0,0,0,0,Abnorml,5,7,109000,7922,731,1057,1057,0,0,1057,3,5,0,1,246,3
39,90,RL,Pave,Reg,Lvl,AllPub,Inside,Edwards,Duplex,1Story,TA,TA,PConc,None,None,None,GasA,TA,N,FuseP,2,Fa,Typ,None,N,0,0,0,0,0,0,AdjLand,4,5,82000,6040,0,0,1152,0,0,1152,2,6,0,0,0,53
40,20,RL,Pave,Reg,Lvl,AllPub,Inside,NAmes,1Fam,1Story,TA,TA,CBlock,TA,TA,Rec,GasA,Ex,Y,SBrkr,1,TA,Typ,Attchd,Y,0,138,0,0,0,0,Abnorml,6,5,160000,8658,643,1088,1324,0,0,1324,3,6,1,2,440,41
41,20,RL,Pave,Reg,Lvl,AllPub,Inside,Timber,1Fam,1Story,TA,Gd,CBlock,TA,TA,BLQ,GasA,Gd,Y,SBrkr,1,TA,Typ,Attchd,P,0,104,0,0,0,0,Normal,5,6,170000,16905,967,1350,1328,0,0,1328,2,5,2,1,308,48
42,85,RL,Pave,IR1,Lvl,AllPub,CulDSac,SawyerW,1Fam,SFoyer,TA,TA,CBlock,Gd,TA,ALQ,GasA,Gd,Y,SBrkr,1,Gd,Typ,Attchd,Y,240,0,0,0,0,0,Normal,5,7,144000,9180,747,840,884,0,0,884,2,5,0,2,504,24
43,20,RL,Pave,IR1,Lvl,AllPub,CulDSac,CollgCr,1Fam,1Story,TA,TA,CBlock,Gd,TA,LwQ,GasA,TA,Y,SBrkr,1,TA,Typ,Detchd,Y,145,0,0,0,0,0,Normal,5,6,130250,9200,280,938,938,0,0,938,3,5,0,1,308,28
44,20,RL,Pave,Reg,Lvl,AllPub,Inside,NAmes,1Fam,1Story,TA,TA,CBlock,TA,TA,ALQ,GasA,Ex,Y,FuseA,1,TA,Typ,Attchd,Y,0,0,0,0,0,0,Normal,5,6,141000,7945,179,1150,1150,0,0,1150,3,6,0,1,300,47
45,120,RL,Pave,Reg,Lvl,AllPub,Inside,NridgHt,TwnhsE,1Story,Ex,TA,PConc,Ex,TA,GLQ,GasA,Ex,Y,SBrkr,1,Ex,Typ,Attchd,Y,196,82,0,0,0,0,Normal,9,5,319900,7658,456,1752,1752,0,0,1752,2,6,1,2,576,5
46,50,RL,Pave,IR1,Lvl,AllPub,CulDSac,Mitchel,1Fam,1.5Fin,Gd,TA,PConc,Ex,TA,GLQ,GasA,Ex,Y,SBrkr,1,Gd,Typ,Attchd,Y,168,43,0,0,198,0,Abnorml,7,5,239686,12822,1351,1434,1518,631,0,2149,1,6,1,2,670,6
47,20,FV,Pave,Reg,Lvl,AllPub,Inside,Somerst,1Fam,1Story,Gd,TA,PConc,Gd,TA,GLQ,GasA,Ex,Y,SBrkr,1,Gd,Typ,Attchd,Y,0,146,0,0,0,0,Normal,8,5,249700,11096,24,1656,1656,0,0,1656,3,7,0,3,826,1
48,190,RM,Pave,Reg,Lvl,AllPub,Inside,OldTown,2fmCon,2Story,TA,TA,BrkTil,TA,TA,Unf,GasA,Gd,Y,SBrkr,3,TA,Typ,None,N,0,0,102,0,0,0,Partial,4,5,113000,4456,0,736,736,716,0,1452,2,8,0,0,0,1
49,20,RL,Pave,Reg,Lvl,AllPub,Inside,Sawyer,1Fam,1Story,TA,TA,CBlock,TA,TA,BLQ,GasA,Ex,Y,SBrkr,1,TA,Typ,Attchd,Y,0,0,0,0,0,0,Normal,5,7,127000,7742,763,955,955,0,0,955,3,6,0,1,386,41
50,60,RL,Pave,IR2,Lvl,AllPub,Corner,Gilbert,1Fam,2Story,TA,TA,PConc,Gd,TA,GLQ,GasA,Gd,Y,SBrkr,1,TA,Typ,Attchd,Y,0,75,0,0,0,0,Normal,6,6,177000,13869,182,794,794,676,0,1470,3,6,0,2,388,10
51,50,RM,Pave,Reg,Lvl,AllPub,Inside,BrkSide,1Fam,1.5Fin,TA,TA,PConc,TA,TA,Unf,GasA,TA,Y,SBrkr,1,TA,Typ,Detchd,Y,112,0,0,0,0,0,Normal,6,6,114500,6240,0,816,816,0,360,1176,3,6,1,2,528,56
52,90,RM,Grvl,IR2,Bnk,AllPub,Corner,IDOTRR,Duplex,1Story,Fa,TA,CBlock,Gd,TA,LwQ,GasA,TA,N,SBrkr,1,TA,Typ,CarPort,Y,106,0,0,0,0,0,Normal,5,5,110000,8472,104,816,816,0,0,816,2,5,0,2,516,47
53,20,RL,Pave,IR1,Low,AllPub,Inside,Veenker,1Fam,1Story,Gd,TA,CBlock,Ex,TA,GLQ,GasA,Gd,Y,SBrkr,1,Gd,Typ,Attchd,Y,857,72,0,0,0,0,Normal,9,5,385000,50271,1810,1842,1842,0,0,1842,0,5,1,3,894,19
54,80,RL,Pave,Reg,Bnk,AllPub,Inside,NAmes,1Fam,SLvl,TA,TA,CBlock,TA,TA,ALQ,GasA,TA,Y,SBrkr,1,TA,Min1,Detchd,Y,0,50,0,0,0,0,Normal,5,5,130000,7134,384,384,1360,0,0,1360,3,6,1,2,572,52
55,20,RL,Pave,IR1,Lvl,AllPub,Inside,NAmes,1Fam,1Story,TA,TA,CBlock,TA,TA,BLQ,GasA,Gd,Y,SBrkr,1,TA,Typ,Attchd,Y,0,0,0,407,0,0,Normal,6,5,180500,10175,490,1425,1425,0,0,1425,3,7,1,2,576,44
56,160,FV,Pave,Reg,Lvl,AllPub,Inside,Somerst,Twnhs,2Story,Gd,TA,PConc,Gd,TA,GLQ,GasA,Ex,Y,SBrkr,1,Gd,Typ,Attchd,Y,115,0,0,0,0,0,Abnorml,8,5,172500,2645,649,970,983,756,0,1739,3,7,0,2,480,9
57,60,RL,Pave,IR1,Lvl,AllPub,Corner,CollgCr,1Fam,2Story,Gd,TA,PConc,Gd,TA,Unf,GasA,Ex,Y,SBrkr,1,Gd,Typ,Attchd,Y,0,70,0,0,0,0,Normal,7,5,196500,11645,0,860,860,860,0,1720,3,7,0,2,565,2
58,60,RL,Pave,IR2,HLS,AllPub,CulDSac,StoneBr,1Fam,2Story,Ex,TA,PConc,Ex,TA,Unf,GasA,Ex,Y,SBrkr,1,Gd,Typ,BuiltIn,Y,192,0,37,0,0,0,Partial,10,5,438780,13682,0,1410,1426,1519,0,2945,3,10,1,3,641,0
59,20,RL,Pave,Reg,Bnk,AllPub,Inside,CollgCr,1Fam,1Story,TA,TA,CBlock,TA,TA,ALQ,GasA,Ex,Y,SBrkr,1,TA,Typ,Detchd,Y,196,0,0,0,0,0,Normal,5,7,124900,7200,632,780,780,0,0,780,2,4,0,1,352,36
60,20,RL,Pave,Reg,Lvl,AllPub,Inside,SawyerW,1Fam,1Story,TA,TA,PConc,Gd,TA,ALQ,GasA,Ex,Y,SBrkr,1,Gd,Typ,Detchd,Y,0,50,0,0,0,0,Partial,6,5,158000,13072,941,1158,1158,0,0,1158,3,5,0,2,576,2
61,75,RM,Pave,Reg,Lvl,AllPub,Inside,IDOTRR,1Fam,2.5Unf,TA,TA,BrkTil,TA,Fa,Unf,GasA,TA,N,SBrkr,1,Fa,Typ,Detchd,N,0,0,144,0,0,0,Normal,5,7,101000,7200,0,530,581,530,0,1111,3,6,0,1,288,11
62,120,RL,Pave,IR1,Lvl,AllPub,Inside,NridgHt,TwnhsE,1Story,Gd,TA,PConc,Gd,Gd,GLQ,GasA,Ex,Y,SBrkr,1,Gd,Typ,Attchd,Y,120,49,0,0,0,0,Normal,8,5,202500,6442,24,1370,1370,0,0,1370,2,6,1,2,484,1
63,70,RM,Pave,IR1,Bnk,AllPub,Inside,OldTown,1Fam,2Story,TA,TA,BrkTil,TA,TA,Unf,GasA,Gd,Y,SBrkr,1,TA,Typ,Detchd,Y,12,11,64,0,0,0,Normal,7,6,140000,10300,0,576,902,808,0,1710,3,9,0,2,480,60
64,60,RL,Pave,Reg,Lvl,AllPub,Inside,CollgCr,1Fam,2Story,TA,TA,PConc,Gd,TA,GLQ,GasA,Ex,Y,SBrkr,1,Gd,Typ,Attchd,Y,576,36,0,0,0,0,Normal,7,5,219500,9375,739,1057,1057,977,0,2034,3,8,0,2,645,11
65,60,RL,Pave,Reg,Lvl,AllPub,Inside,NridgHt,1Fam,2Story,Gd,TA,PConc,Ex,TA,Unf,GasA,Ex,Y,SBrkr,1,Gd,Typ,BuiltIn,Y,192,151,0,0,0,0,Normal,8,5,317000,9591,0,1143,1143,1330,0,2473,4,9,1,3,852,2
66,20,RL,Pave,Reg,Lvl,AllPub,Inside,NAmes,1Fam,1Story,TA,TA,CBlock,Gd,TA,GLQ,GasA,TA,Y,SBrkr,1,TA,Min1,Attchd,Y,301,0,0,0,0,0,Normal,7,5,180000,19900,912,1947,2207,0,0,2207,3,7,1,2,576,21
67,20,RL,Pave,IR1,Lvl,AllPub,Inside,CollgCr,1Fam,1Story,Gd,TA,PConc,Gd,TA,GLQ,GasA,Ex,Y,SBrkr,1,Gd,Typ,Attchd,Y,144,29,0,0,0,0,Normal,7,5,226000,10665,1013,1453,1479,0,0,1479,3,7,0,2,558,4
68,30,RM,Pave,Reg,Lvl,AllPub,Corner,OldTown,1Fam,1Story,TA,Gd,CBlock,TA,TA,Unf,GasA,TA,Y,SBrkr,1,TA,Typ,Attchd,Y,0,0,0,0,0,0,Normal,4,6,80000,4608,0,747,747,0,0,747,2,4,0,1,220,60
69,50,RL,Pave,Reg,Lvl,AllPub,Corner,ClearCr,1Fam,1.5Fin,Gd,TA,CBlock,TA,TA,BLQ,GasW,TA,Y,SBrkr,1,TA,Typ,Attchd,Y,0,21,114,0,0,0,Normal,7,4,225000,15593,603,1304,1304,983,0,2287,3,7,1,2,667,53
70,20,RL,Pave,IR1,Lvl,AllPub,Inside,NAmes,1Fam,1Story,TA,Gd,CBlock,Gd,TA,ALQ,GasA,Ex,Y,SBrkr,1,TA,Typ,Attchd,Y,300,0,0,0,0,0,Normal,7,6,244000,13651,1880,2223,2223,0,0,2223,3,8,2,2,516,34
71,20,RL,Pave,Reg,Lvl,AllPub,Corner,Mitchel,1Fam,1Story,TA,TA,CBlock,TA,TA,ALQ,GasA,TA,Y,SBrkr,1,TA,Typ,Detchd,Y,0,0,0,0,0,0,Normal,4,6,129500,7599,565,845,845,0,0,845,2,4,0,2,360,1
72,60,RL,Pave,IR1,Lvl,AllPub,Corner,Gilbert,1Fam,2Story,TA,TA,PConc,Gd,TA,Unf,GasA,Gd,Y,SBrkr,1,TA,Typ,Attchd,Y,0,94,0,0,291,0,Normal,7,5,185000,10141,0,832,885,833,0,1718,3,7,1,2,427,11
73,20,RL,Pave,Reg,Lvl,AllPub,Inside,NAmes,1Fam,1Story,TA,TA,CBlock,TA,TA,ALQ,GasA,Gd,Y,SBrkr,1,TA,Typ,Attchd,Y,0,0,0,0,0,0,Normal,5,7,144900,10200,320,1086,1086,0,0,1086,3,6,0,2,490,7
74,50,RM,Pave,Reg,Lvl,AllPub,Corner,OldTown,1Fam,2Story,Gd,Gd,CBlock,Fa,TA,Unf,GasA,Gd,N,SBrkr,2,TA,Typ,Detchd,Y,0,0,202,0,0,0,Normal,3,6,107400,5790,0,840,840,765,0,1605,3,8,0,1,379,60
75,180,RM,Pave,Reg,Lvl,AllPub,Inside,MeadowV,Twnhs,SLvl,TA,TA,CBlock,Gd,TA,GLQ,GasA,TA,Y,SBrkr,1,TA,Typ,BuiltIn,Y,120,101,0,0,0,0,Normal,4,5,91000,1596,462,462,526,462,0,988,2,5,0,1,297,36
76,20,RL,Pave,IR1,Lvl,AllPub,Inside,NAmes,1Fam,1Story,TA,TA,CBlock,TA,TA,ALQ,GasA,Ex,Y,FuseA,1,TA,Typ,Detchd,Y,0,0,0,0,0,0,Normal,4,7,135750,8475,228,952,952,0,0,952,2,4,0,1,283,52
77,50,RM,Pave,Reg,Lvl,AllPub,Inside,BrkSide,1Fam,1.5Fin,TA,TA,CBlock,TA,TA,BLQ,GasA,TA,Y,SBrkr,1,TA,Min1,Detchd,Y,0,0,0,0,0,0,Normal,5,5,127000,8635,336,672,1072,213,0,1285,2,6,0,1,240,7
78,90,RL,Pave,Reg,Lvl,AllPub,Inside,Sawyer,Duplex,1Story,TA,TA,CBlock,TA,TA,Unf,GasA,TA,N,SBrkr,2,TA,Typ,None,Y,0,0,0,0,0,0,Normal,4,5,136500,10778,0,1768,1768,0,0,1768,4,8,0,0,0,42
79,50,RM,Pave,Reg,Lvl,AllPub,Corner,OldTown,1Fam,2Story,TA,TA,PConc,TA,TA,Unf,GasA,Gd,Y,SBrkr,1,TA,Typ,Detchd,Y,74,0,128,0,0,0,Normal,5,6,110000,10440,0,440,682,548,0,1230,2,5,0,2,440,28
80,60,RL,Pave,Reg,Lvl,AllPub,Corner,NAmes,1Fam,2Story,TA,Gd,CBlock,Gd,TA,Rec,GasA,TA,Y,SBrkr,1,Gd,Typ,Attchd,Y,0,72,0,0,252,0,Normal,6,6,193500,13000,448,896,1182,960,0,2142,4,8,1,1,509,41
81,120,RM,Pave,Reg,Lvl,AllPub,FR2,Mitchel,TwnhsE,1Story,TA,Gd,PConc,Ex,Gd,GLQ,GasA,Ex,Y,SBrkr,1,TA,Typ,Attchd,Y,0,199,0,0,0,0,Normal,6,5,153500,4500,1201,1237,1337,0,0,1337,2,5,0,2,405,8
82,20,RL,Pave,Reg,Lvl,AllPub,Inside,Somerst,1Fam,1Story,TA,TA,PConc,Gd,TA,GLQ,GasA,Ex,Y,SBrkr,1,Gd,Typ,Attchd,Y,144,99,0,0,0,0,Normal,8,5,245000,10206,33,1563,1563,0,0,1563,3,6,1,3,758,1
83,20,RL,Pave,IR1,Lvl,AllPub,Inside,NAmes,1Fam,1Story,TA,TA,CBlock,TA,TA,Unf,GasA,Gd,Y,SBrkr,1,TA,Typ,Detchd,Y,74,0,0,0,0,0,Normal,5,5,126500,8892,0,1065,1065,0,0,1065,3,6,0,2,461,47
84,80,RL,Pave,IR1,Lvl,AllPub,Inside,Gilbert,1Fam,SLvl,TA,TA,PConc,Gd,TA,Unf,GasA,Gd,Y,SBrkr,1,TA,Typ,BuiltIn,Y,120,72,0,0,0,0,Normal,7,5,168500,8530,0,384,804,670,0,1474,3,7,1,2,400,13
85,60,RL,Pave,Reg,Lvl,AllPub,Corner,NoRidge,1Fam,2Story,Gd,TA,CBlock,Gd,TA,Unf,GasA,Ex,Y,SBrkr,1,Gd,Typ,Attchd,Y,127,82,0,0,0,0,Normal,8,5,260000,16059,0,1288,1301,1116,0,2417,4,9,1,2,462,14
86,60,RL,Pave,IR2,Lvl,AllPub,Inside,Gilbert,1Fam,2Story,Gd,TA,PConc,Gd,TA,Unf,GasA,Ex,Y,SBrkr,1,Gd,Typ,BuiltIn,Y,100,38,0,0,0,0,Normal,6,5,174000,11911,0,684,684,876,0,1560,3,6,1,2,400,4
